Tau,Router,Seed,P99,P95,SLA (%),Total Regret
40,Round Robin,1,117.9191666666352,113.01187222816102,37.84,79813.66143590497
40,Round Robin,2,111.74322631776379,107.35502875468205,24.175,53074.26785377051
40,Round Robin,3,115.28143690206191,110.77049298055063,30.654999999999998,65521.498014938305
40,Round Robin,4,121.67145656827321,116.72867095875343,19.245,43625.641066820644
40,Round Robin,5,117.10351255061339,112.9906114555422,45.07,96125.22799040508
40,Round Robin,6,113.70546236753664,110.03385002128552,38.45,84367.8004456207
40,Round Robin,7,118.43623946733327,114.28301730444643,45.585,97689.64897646004
40,Round Robin,8,122.80872330607711,118.2692124263276,48.455,104419.9535666143
40,Round Robin,9,113.4736781796595,108.37585893259269,17.945,42273.50233399941
40,Round Robin,10,120.5002099760764,116.39224736248542,36.705,78333.87505903258
40,Round Robin,11,100.27904259276652,95.61959355553248,1.16,6211.610203551476
40,Round Robin,12,112.20587751134346,98.19566484779563,4.324999999999999,13912.85254978119
40,Round Robin,13,119.67074975370998,113.41187207678557,25.505,57140.58648513287
40,Round Robin,14,111.01030434942648,106.32741079162001,17.165,38518.70315421314
40,Round Robin,15,103.48791102562414,98.58444711938348,3.2649999999999997,11848.617146756376
40,Least Connections,1,123.70983483583483,119.33891188402512,30.81,68314.16291635361
40,Least Connections,2,68.41114127379913,64.77878041044855,0.0,1655.01159439044
40,Least Connections,3,100.49304581773264,97.08503066620975,1.3050000000000002,11906.166291027987
40,Least Connections,4,75.3940048263646,71.85761086227271,0.0,1969.2236113070344
40,Least Connections,5,107.61933002552068,104.05262343068222,20.645,48802.32778434335
40,Least Connections,6,72.71758137337217,69.44276860430303,0.0,4079.288884305817
40,Least Connections,7,120.97716553941086,117.62931254149915,84.74000000000001,176137.57366292094
40,Least Connections,8,59.961592664603934,56.59140447853137,0.0,1623.5163963930195
40,Least Connections,9,101.46292708211158,97.93626983254755,1.96,8208.042922272325
40,Least Connections,10,89.67107532225106,86.2263887281864,0.0,5959.14061580922
40,Least Connections,11,110.35679426924162,106.92466603798687,33.300000000000004,73720.11520273224
40,Least Connections,12,103.13903049929773,97.81392527071907,2.595,12468.899636378
40,Least Connections,13,108.34847933211796,104.91229999970246,25.735000000000003,59313.93179014985
40,Least Connections,14,122.21501989680178,118.44563762318627,97.195,204496.75230686646
40,Least Connections,15,77.98146022427855,74.31823067352107,0.0,3595.3763748028596
40,Pure DQN,1,96.22390446821747,89.76037814396454,0.27499999999999997,3684.6942802877757
